invoiceidno,itemdescription,quantity,rate,msku,
7551,Dr. Reckeweg R59 Obesity and Slimming Drop,1,350.85,38348,
7552,Phytolacca Berry 30 CH,1,219.49,42952,
7553,Dr. Reckeweg Chelidonium Majus Mother Tincture Q,1,338.13,38504,
7554,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7555,Tinospora Cordifolia,1,236.44,42057,
7556,Dr Willmar Schwabe India Strophanthus Hispidus Mother Tincture Q,1,367.8,WILLSCH1977,
7557,Dr. Reckeweg Lemna Minor Dilution 200 CH,1,253.39,38707,
7558,Cochlearia Armoracia,1,261.86,42086,
7559,Murex Purpurea Dilution 200 CH (30 ml),1,236.44,46790,
7560,Fraxinus Americana 30 CH,1,219.49,44256,
7561,Pure Silver Lotus Agarbatti Stand Small 7.73g,1,1412.71,900098,
7562,Acidum Nitricum Dilution 30 CH,1,232.2,38705,
7563,Histaminum Dilution 30 CH,1,219.49,42781,
7564,Allen Hernia Drop - 30ml,2,211.44,1024189,
7565,Ledum Palustre 200 CH,1,236.44,42819,
7566,Dr. Reckeweg Chelidonium Majus Mother Tincture Q,1,338.13,38504,
7567,Dr. Reckeweg Clema tis Erec Dilution200 CH,1,253.39,38857,
7568,Dr. Reckeweg Iodium Dilution 30 CH,1,232.2,38710,
7569,Hydrocotyle Asiatica,1,227.96,42087,
7570,Dr. Reckeweg Pulsa tilla N Dilution200 CH,1,253.39,38697,
7571,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7572,Acidum Nitricum Dilution 30 CH,1,232.2,38705,
7573,Hydrocotyle Asiatica,1,227.96,42087,
7574,Colchicum Autumnale,1,261.86,42244,
7575,Pure Silver Bilva Patra 27 Grams (Pack of 108),1,25334.76,900628,
7576,Boerhaavia Diffusa,1,227.96,42081,
7577,Allium Sativum,1,227.96,42074,
7578,Hydrocotyle Asiatica,1,227.96,42087,
7579,Antimonium Crudum 30,1,163.56,42738,
7579,Reckeweg Sepia 30 CH,2,176.27,38647,
7580,Dr. Reckeweg Vinca Minor Dilution 30 CH,1,232.2,38876,
7581,SBL Hydrocotyle Asiatica Mother Tincture Q - 30ml,1,227.97,42087,
7582,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7583,Variolinum 30CH,1,219.49,43123,
7584,Sarracenia Purpurea 3 CH,1,219.49,43369,
7585,SBL Abrotanum Dilution 200 CH,1,236.44,44161,
7586,Natrum Muriaticum Dilution 30 CH (11ml),1,232.2,38659,
7587,Acidum Nitricum Dilution 30 CH,1,232.2,38705,
7588,SBL Iodium Dilution 30 CH,1,219.49,42816,
7589,Dr. Reckeweg Caust icum Dilution200 CH,1,253.39,38654,
7590,SBL Hypericum Perforatum Mother Tincture Q - 30ml,1,240.68,42098,
7591,Dr. Reckeweg Lemna Minor Dilution 200 CH,1,253.39,38707,
7592,Graphites Dilution 200 CH,1,253.39,38729,
7593,Boerhaavia Diffusa,1,372.03,42081,
7594,Belladonna,1,227.97,42110,
7595,Dr. Reckeweg Physostigma Dilution 30 CH,1,232.2,38744,
